========================================================================= 
Log Path: log_file.log 
Working Directory: /home/user/Projects/CUNY/bergeys.webscraper/misc 
User Name: user 
R Version: 4.3.1 (2023-06-16) 
Machine: pop-os x86_64 
Operating System: Linux 6.5.6-76060506-generic #202310061235~1697396945~22.04~9283e32 SMP PREEMPT_DYNAMIC Sun O 
Base Packages: stats graphics grDevices utils datasets methods base Other Packages: readr_2.1.4 logr_1.3.4 dplyr_1.1.3 purrr_1.0.2 stringr_1.5.0 rvest_1.0.3 
Log Start Time: 2023-11-10 11:15:26.462624 
========================================================================= 
Number of links: 1373 

Got Beutenbergia † - Number 56. Time: 2023-11-10 11:16:57.193439. Link: http://onlinelibrary.wiley.com/doi/10.1002/9781118960608.gbm00056/abstract 
Got Miniimonas † - Number 57. Time: 2023-11-10 11:16:58.643476. Link: http://onlinelibrary.wiley.com/doi/10.1002/9781118960608.gbm00057/abstract 
Got Salana † - Number 58. Time: 2023-11-10 11:16:59.955906. Link: http://onlinelibrary.wiley.com/doi/10.1002/9781118960608.gbm00058/abstract 
Got Serinibacter † - Number 59. Time: 2023-11-10 11:17:01.400372. Link: http://onlinelibrary.wiley.com/doi/10.1002/9781118960608.gbm00059/abstract 
Got Bogoriella † - Number 60. Time: 2023-11-10 11:17:02.652482. Link: http://onlinelibrary.wiley.com/doi/10.1002/9781118960608.gbm00060/abstract 
Got Georgenia † - Number 61. Time: 2023-11-10 11:17:04.180112. Link: http://onlinelibrary.wiley.com/doi/10.1002/9781118960608.gbm00061/abstract 
Got Brevibacterium † - Number 62. Time: 2023-11-10 11:17:05.838354. Link: http://onlinelibrary.wiley.com/doi/10.1002/9781118960608.gbm00062/abstract 
Got Cellulomonas † - Number 63. Time: 2023-11-10 11:17:07.108289. Link: http://onlinelibrary.wiley.com/doi/10.1002/9781118960608.gbm00063/abstract 
Got Oerskovia † - Number 64. Time: 2023-11-10 11:17:08.653209. Link: http://onlinelibrary.wiley.com/doi/10.1002/9781118960608.gbm00064/abstract 
Got Tropheryma † - Number 65. Time: 2023-11-10 11:17:10.125444. Link: http://onlinelibrary.wiley.com/doi/10.1002/9781118960608.gbm00065/abstract 
Got Incertae sedis Actinotalea † - Number 66. Time: 2023-11-10 11:17:11.318338. Link: http://onlinelibrary.wiley.com/doi/10.1002/9781118960608.gbm00066/abstract 
Got Incertae sedis Demequina † - Number 67. Time: 2023-11-10 11:17:12.766857. Link: http://onlinelibrary.wiley.com/doi/10.1002/9781118960608.gbm00067/abstract 
Got Brachybacterium † - Number 68. Time: 2023-11-10 11:17:13.84103. Link: http://onlinelibrary.wiley.com/doi/10.1002/9781118960608.gbm00068/abstract 
Got Dermabacter † - Number 69. Time: 2023-11-10 11:17:15.265908. Link: http://onlinelibrary.wiley.com/doi/10.1002/9781118960608.gbm00069/abstract 
Got Demetria † - Number 70. Time: 2023-11-10 11:17:16.69962. Link: http://onlinelibrary.wiley.com/doi/10.1002/9781118960608.gbm00070/abstract 
Got Dermacoccus † - Number 71. Time: 2023-11-10 11:17:17.795296. Link: http://onlinelibrary.wiley.com/doi/10.1002/9781118960608.gbm00071/abstract 
Got Kytococcus † - Number 72. Time: 2023-11-10 11:17:18.846579. Link: http://onlinelibrary.wiley.com/doi/10.1002/9781118960608.gbm00072/abstract 
Got Dermatophilus † - Number 73. Time: 2023-11-10 11:17:20.148985. Link: http://onlinelibrary.wiley.com/doi/10.1002/9781118960608.gbm00073/abstract 
Got Kineosphaera † - Number 74. Time: 2023-11-10 11:17:23.027122. Link: http://onlinelibrary.wiley.com/doi/10.1002/9781118960608.gbm00074/abstract 
Got Arsenicicoccus † - Number 75. Time: 2023-11-10 11:17:24.242302. Link: http://onlinelibrary.wiley.com/doi/10.1002/9781118960608.gbm00075/abstract 
Got Humihabitans † - Number 76. Time: 2023-11-10 11:17:25.696446. Link: http://onlinelibrary.wiley.com/doi/10.1002/9781118960608.gbm00076/abstract 
Got Intrasporangium † - Number 77. Time: 2023-11-10 11:17:27.062217. Link: http://onlinelibrary.wiley.com/doi/10.1002/9781118960608.gbm00077/abstract 
Got Janibacter † - Number 78. Time: 2023-11-10 11:17:28.522442. Link: http://onlinelibrary.wiley.com/doi/10.1002/9781118960608.gbm00078/abstract 
Got Knoellia † - Number 79. Time: 2023-11-10 11:17:30.561162. Link: http://onlinelibrary.wiley.com/doi/10.1002/9781118960608.gbm00079/abstract 
Got Kribbia † - Number 80. Time: 2023-11-10 11:17:32.028954. Link: http://onlinelibrary.wiley.com/doi/10.1002/9781118960608.gbm00080/abstract 
